id,father,mother,gender,trait,SNP_01,SNP_02,SNP_03,SNP_04,SNP_05,SNP_06,SNP_07,SNP_08,SNP_09,SNP_10,SNP_11,SNP_12,SNP_13,SNP_14,SNP_15,class
TRAIN_218,0,0,0,2,G G,A G,A A,A A,C A,G G,A A,G A,A A,A A,A A,A A,G G,A A,G A,C
TRAIN_219,0,0,0,2,G G,G G,C C,G G,C A,G G,A A,G G,A A,G G,A G,A A,G G,A A,A A,B
TRAIN_220,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,C A,G G,A
TRAIN_221,0,0,0,2,A G,A G,C C,A A,C C,A A,A A,G G,A A,G G,G G,A A,A A,A A,A A,B
TRAIN_222,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G A,A A,G G,G G,G A,A A,A A,A A,B
TRAIN_223,0,0,0,2,G G,A G,C A,G A,C C,G G,A A,G A,A A,G G,G G,A A,A G,A A,A A,B
TRAIN_224,0,0,0,1,A G,A G,A A,G G,C A,A G,G A,A A,G A,A G,G G,G G,G G,C C,G G,A
TRAIN_225,0,0,0,2,G G,A A,A A,G A,C C,A G,A A,A A,G A,G G,A A,A A,A A,A A,G A,B
TRAIN_226,0,0,0,2,G G,A G,C A,G G,C C,G G,A A,G A,A A,G G,A G,A A,A A,A A,G A,B
TRAIN_227,0,0,0,2,G G,G G,C A,G A,C C,A A,A A,G A,A A,G G,A G,G G,A G,A A,G A,B
TRAIN_228,0,0,0,2,A G,A G,C A,A A,C C,A G,A A,G G,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_229,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G G,G G,C C,G A,A
TRAIN_230,0,0,0,2,G G,A A,C C,A A,C A,A A,G A,G A,A A,A G,A G,G A,G G,A A,G A,C
TRAIN_231,0,0,0,2,G G,A G,C C,A A,A A,A G,G A,G A,A A,A G,A G,A A,A G,A A,G A,C
TRAIN_232,0,0,0,2,A G,A G,A A,G G,C C,G G,G A,G G,A A,G G,A G,G A,A G,A A,A A,B
TRAIN_233,0,0,0,2,G G,G G,A A,A A,C A,A A,A A,A A,A A,A G,A A,A A,G G,A A,G A,C
TRAIN_234,0,0,0,2,G G,A G,C A,G A,C C,A G,A A,G A,A A,A G,A G,A A,A A,A A,A A,B
TRAIN_235,0,0,0,2,G G,A G,C A,A A,C A,A G,A A,A A,A A,A A,A G,A A,A G,A A,A A,C
TRAIN_236,0,0,0,2,A G,A G,C C,G A,C A,A G,A A,G G,G A,G G,A G,A A,G G,A A,A A,B
TRAIN_237,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,C A,G G,A
TRAIN_238,0,0,0,2,A G,A G,C C,A A,A A,A G,A A,G A,A A,A G,A A,A A,A G,A A,A A,C
TRAIN_239,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G G,A G,A G,G A,G G,C A,G A,A
TRAIN_240,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G G,A G,G G,G G,G G,A A,G G,A
TRAIN_241,0,0,0,2,A G,A G,A A,A A,A A,A G,G A,G A,A A,A G,A G,A A,G G,A A,G A,C
TRAIN_242,0,0,0,2,G G,A G,C A,A A,C A,A G,A A,G A,A A,A G,A A,A A,G G,A A,G G,C
TRAIN_243,0,0,0,2,A G,G G,A A,G A,C C,A G,A A,G A,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_244,0,0,0,2,G G,A G,A A,G A,C A,A G,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_245,0,0,0,2,G G,G G,C C,G A,C A,A A,A A,G G,A A,G G,A G,G G,A A,A A,A A,B
TRAIN_246,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G G,G G,C C,G G,A
TRAIN_247,0,0,0,2,G G,A G,A A,A A,C C,A G,A A,G G,A A,G G,A G,G A,A G,A A,G G,B
TRAIN_248,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A G,G G,G G,G G,C A,G A,A
TRAIN_249,0,0,0,2,G G,A G,C A,G A,C C,G G,A A,A A,A A,G G,A G,A A,A A,A A,G A,B
TRAIN_250,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,A A,G A,A
TRAIN_251,0,0,0,2,G G,A A,C C,A A,A A,A A,A A,G G,A A,G G,A G,G A,G G,A A,G A,C
TRAIN_252,0,0,0,2,G G,A G,C A,A A,C A,A A,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_253,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,G A,G A,A A,G G,A A,G G,A A,G G,A
TRAIN_254,0,0,0,2,A G,A G,C A,A A,C A,A G,A A,G G,A A,G G,A G,G A,A G,A A,A A,B
TRAIN_255,0,0,0,2,A G,G G,C A,G A,C C,A G,G A,G G,A A,G G,G G,A A,A A,A A,G A,B
TRAIN_256,0,0,0,2,G G,G G,C A,G A,C C,A G,A A,G G,A A,G G,A G,G A,A A,A A,A A,B
TRAIN_257,0,0,0,2,A G,A G,A A,G A,C C,A G,A A,G A,A A,G G,A G,G A,A A,A A,A A,B
TRAIN_258,0,0,0,2,G G,A A,C A,A A,A A,A G,G A,G A,A A,A G,A G,A A,A G,A A,G A,C
TRAIN_259,0,0,0,1,A G,G G,A A,G A,A A,A G,G G,G A,G A,A A,G G,G G,G G,C A,G G,A
TRAIN_260,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G A,A G,A G,G A,G G,C A,G G,A
TRAIN_261,0,0,0,2,G G,A G,C A,G G,C C,A G,A A,A A,A A,G G,A A,A A,G G,A A,G A,B
